,OBJECTID,Region,Division,ID,School,Municipali,Legislativ,Total_Enro,Total_Inst,Color_Code,Barangay,Province,District,Type_of_Sc,Rooms_used,Rooms_unused
3717,3718,Region VII,Negros Oriental,120323,Mandapaton ES,LA LIBERTAD,1st,165,10,Blue,MANDAPATON,NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3718,3719,Region VII,Negros Oriental,120324,Manghulyawon ES,LA LIBERTAD,1st,179,4,Blue,MANGHULYAWON,NEGROS ORIENTAL,La Libertad,School with no Annexes,0.0,0.0
3719,3720,Region VII,Negros Oriental,120326,Mapalasan ES,LA LIBERTAD,1st,96,2,Yellow,MAPALASAN,NEGROS ORIENTAL,La Libertad,School with no Annexes,5.0,0.0
3720,3721,Region VII,Negros Oriental,120327,Martilo ES,LA LIBERTAD,1st,326,13,Blue,MARTILO,NEGROS ORIENTAL,La Libertad,School with no Annexes,13.0,0.0
3721,3722,Region VII,Negros Oriental,120330,Pangca ES,LA LIBERTAD,1st,83,6,Blue,PANGCA,NEGROS ORIENTAL,La Libertad,School with no Annexes,4.0,0.0
3722,3723,Region VII,Negros Oriental,120331,Pisong ES,LA LIBERTAD,1st,153,4,Blue,PISONG,NEGROS ORIENTAL,La Libertad,School with no Annexes,3.0,0.0
3723,3724,Region VII,Negros Oriental,120333,San Jose ES,LA LIBERTAD,1st,270,8,Blue,SAN JOSE,NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3724,3725,Region VII,Negros Oriental,120334,Solonggon ES,LA LIBERTAD,1st,283,10,Blue,SOLONGON,NEGROS ORIENTAL,La Libertad,School with no Annexes,8.0,0.0
3725,3726,Region VII,Negros Oriental,120314,Biga-a ES,LA LIBERTAD,1st,101,5,Blue,BIGA-A,NEGROS ORIENTAL,La Libertad,School with no Annexes,2.0,0.0
3726,3727,Region VII,Negros Oriental,120316,Cangabo ES,LA LIBERTAD,1st,222,8,Blue,CANGABO,NEGROS ORIENTAL,La Libertad,School with no Annexes,4.0,0.0
3727,3728,Region VII,Negros Oriental,120305,Pacuan ES,JIMALALUD,1st,164,4,Blue,PACUAN,NEGROS ORIENTAL,Jimalalud,School with no Annexes,4.0,0.0
3728,3729,Region VII,Guihulngan City,120236,Bonbon ES,CITY OF GUIHULNGAN,1st,175,2,Red,,NEGROS ORIENTAL,Guihulngan North,School with no Annexes,4.0,0.0
3729,3730,Region VII,Guihulngan City,120281,Plagatasanon ES,CITY OF GUIHULNGAN,1st,187,3,Red,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,6.0,0.0
3730,3731,Region VII,Guihulngan City,120269,Hinogpayan ES,CITY OF GUIHULNGAN,1st,232,6,Blue,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,5.0,0.0
3731,3732,Region VII,Guihulngan City,120266,Dadiangao PS,CITY OF GUIHULNGAN,1st,60,0,Black,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,0.0,0.0
3732,3733,Region VII,Guihulngan City,120271,Kapudlusan PS,CITY OF GUIHULNGAN,1st,57,1,Red,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,1.0,0.0
3733,3734,Region VII,Guihulngan City,120283,Taloto ES,CITY OF GUIHULNGAN,1st,175,5,Blue,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,5.0,0.0
3734,3735,Region VII,Guihulngan City,120264,Banwague ES,CITY OF GUIHULNGAN,1st,189,1,Red,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,4.0,0.0
3735,3736,Region VII,Guihulngan City,120272,Linantuyan ES,CITY OF GUIHULNGAN,1st,309,2,Red,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,8.0,0.0
3736,3737,Region VII,Guihulngan City,120273,Luz ES,CITY OF GUIHULNGAN,1st,188,3,Red,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,4.0,0.0
3737,3738,Region VII,Negros Oriental,120299,Lacaon ES,JIMALALUD,1st,203,4,Yellow,LACAON,NEGROS ORIENTAL,Jimalalud,School with no Annexes,6.0,0.0
3738,3739,Region VII,Negros Oriental,120296,Cangharay Elementary School,JIMALALUD,1st,205,9,Blue,CANGHARAY,NEGROS ORIENTAL,Jimalalud,School with no Annexes,8.0,0.0
3739,3740,Region VII,Negros Oriental,120300,Mahanlod ES,JIMALALUD,1st,154,5,Blue,MAHANLUD,NEGROS ORIENTAL,Jimalalud,School with no Annexes,7.0,0.0
3740,3741,Region VII,Negros Oriental,120301,Malabago PS,JIMALALUD,1st,52,2,Blue,MALABAGO,NEGROS ORIENTAL,Jimalalud,School with no Annexes,3.0,0.0
3741,3742,Region VII,Negros Oriental,120303,Mongpong PS,JIMALALUD,1st,72,2,Blue,,NEGROS ORIENTAL,Jimalalud,School with no Annexes,2.0,0.0
3742,3743,Region VII,Negros Oriental,120304,Owacan ES,JIMALALUD,1st,344,6,Red,OWACAN,NEGROS ORIENTAL,Jimalalud,School with no Annexes,8.0,0.0
3743,3744,Region VII,Negros Oriental,120309,Yli ES,JIMALALUD,1st,264,8,Blue,ELI,NEGROS ORIENTAL,Jimalalud,School with no Annexes,8.0,0.0
3744,3745,Region VII,Negros Oriental,120289,Apanangon ES,JIMALALUD,1st,217,6,Blue,AGLAHUG,NEGROS ORIENTAL,Jimalalud,School with no Annexes,6.0,0.0
3745,3746,Region VII,Negros Oriental,120292,Banog ES,JIMALALUD,1st,141,5,Blue,BANOG,NEGROS ORIENTAL,Jimalalud,School with no Annexes,3.0,0.0
3746,3747,Region VII,Negros Oriental,120291,Bangcal ES,JIMALALUD,1st,239,9,Blue,BANGCAL,NEGROS ORIENTAL,Jimalalud,School with no Annexes,7.0,0.0
3747,3748,Region VII,Negros Oriental,120293,Buto PS,JIMALALUD,1st,53,2,Blue,BUTO,NEGROS ORIENTAL,Jimalalud,School with no Annexes,2.0,0.0
3748,3749,Region VII,Negros Oriental,120318,Guihob ES,LA LIBERTAD,1st,268,6,Blue,,NEGROS ORIENTAL,La Libertad,School with no Annexes,3.0,0.0
3749,3750,Region VII,Negros Oriental,120319,Kansumandig ES,LA LIBERTAD,1st,269,7,Blue,KANSUMANDIG,NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3750,3751,Region VII,Negros Oriental,120322,Mambulod ES,LA LIBERTAD,1st,124,5,Blue,MAMBULOD,NEGROS ORIENTAL,La Libertad,School with no Annexes,4.0,0.0
3751,3752,Region VII,Negros Oriental,120325,Manluminsag ES,LA LIBERTAD,1st,138,6,Blue,MANLUMINSAG,NEGROS ORIENTAL,La Libertad,School with no Annexes,3.0,0.0
3752,3753,Region VII,Negros Oriental,120328,Nasunggan ES,LA LIBERTAD,1st,287,6,Yellow,NASUNGAN,NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3753,3754,Region VII,Negros Oriental,120311,Aniniaw ES,LA LIBERTAD,1st,188,7,Blue,ANINIAW,NEGROS ORIENTAL,La Libertad,School with no Annexes,3.0,0.0
3754,3755,Region VII,Negros Oriental,120332,Pitogo ES,LA LIBERTAD,1st,252,7,Blue,PITOGO,NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3755,3756,Region VII,Negros Oriental,120335,Tala-on ES,LA LIBERTAD,1st,170,4,Blue,TALA-ON,NEGROS ORIENTAL,La Libertad,School with no Annexes,4.0,0.0
3756,3757,Region VII,Negros Oriental,120336,Talostos ES,LA LIBERTAD,1st,274,8,Blue,ELECIA (TALOSTOS),NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3757,3758,Region VII,Negros Oriental,120310,Agbobolo ES (Aya ES),LA LIBERTAD,1st,145,5,Blue,AYA,NEGROS ORIENTAL,La Libertad,School with no Annexes,3.0,0.0
3758,3759,Region VII,Negros Oriental,120312,Aya Elementary School,LA LIBERTAD,1st,116,3,Blue,AYA,NEGROS ORIENTAL,La Libertad,School with no Annexes,3.0,0.0
3759,3760,Region VII,Negros Oriental,120313,Bagtic ES,LA LIBERTAD,1st,265,9,Blue,BAGTIC,NEGROS ORIENTAL,La Libertad,School with no Annexes,10.0,0.0
3760,3761,Region VII,Negros Oriental,120315,Busilac ES,LA LIBERTAD,1st,210,7,Blue,BUSILAK,NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3761,3762,Region VII,Negros Oriental,120317,Eli ES,LA LIBERTAD,1st,192,6,Blue,ELI,NEGROS ORIENTAL,La Libertad,School with no Annexes,6.0,0.0
3762,3763,Region VII,Bayawan City,120144,Bokaw ES,CITY OF BAYAWAN (TULONG),3rd,243,8,Blue,MANDU-AO,NEGROS ORIENTAL,Bayawan West,School with no Annexes,6.0,0.0
3763,3764,Region VII,Bais City,120103,Sab-ahan ES,BAIS CITY,2nd,271,6,Blue,Sab-ahan,NEGROS ORIENTAL,Bais City South,School with no Annexes,6.0,0.0
3764,3765,Region VII,Bayawan City,120137,San Jose ES,CITY OF BAYAWAN (TULONG),3rd,318,7,Blue,,NEGROS ORIENTAL,Bayawan East,School with no Annexes,7.0,0.0
3765,3766,Region VII,Bayawan City,120125,Bugay ES,CITY OF BAYAWAN (TULONG),3rd,635,12,Gold,BUGAY,NEGROS ORIENTAL,Bayawan East,School with no Annexes,11.0,0.0
3766,3767,Region VII,Bayawan City,120160,Mandu-aw ES,CITY OF BAYAWAN (TULONG),3rd,539,11,Yellow,MANDU-AO,NEGROS ORIENTAL,Bayawan West,School with no Annexes,15.0,0.0
3767,3768,Region VII,Negros Oriental,120343,Barras ES,MABINAY,2nd,426,10,Blue,BARRAS,NEGROS ORIENTAL,Mabinay II,School with no Annexes,10.0,0.0
3768,3769,Region VII,Negros Oriental,120347,Bugnay ES,MABINAY,2nd,115,4,Blue,BUGNAY,NEGROS ORIENTAL,Mabinay I,School with no Annexes,4.0,0.0
3769,3770,Region VII,Negros Oriental,120348,Bulibulihan ES,MABINAY,2nd,113,3,Blue,BULIBULIHAN,NEGROS ORIENTAL,Mabinay I,School with no Annexes,3.0,0.0
3770,3771,Region VII,Negros Oriental,120351,Canggohob ES,MABINAY,2nd,248,4,Red,CANGGOHOB,NEGROS ORIENTAL,Mabinay II,School with no Annexes,6.0,0.0
3771,3772,Region VII,Negros Oriental,120352,Cansal-ing ES,MABINAY,2nd,237,4,Red,CANSAL-ING,NEGROS ORIENTAL,Mabinay II,School with no Annexes,4.0,0.0
3772,3773,Region VII,Negros Oriental,120353,Cantombol ES,MABINAY,2nd,168,5,Blue,CANGGOHOB,NEGROS ORIENTAL,Mabinay II,School with no Annexes,4.0,0.0
3773,3774,Region VII,Negros Oriental,120354,Capanun-an ES,MABINAY,2nd,243,6,Blue,CAMPANUN-AN,NEGROS ORIENTAL,Mabinay II,School with no Annexes,6.0,1.0
3774,3775,Region VII,Negros Oriental,120355,Dagbasan ES,MABINAY,2nd,258,9,Blue,DAGBASAN,NEGROS ORIENTAL,Mabinay II,School with no Annexes,8.0,0.0
3775,3776,Region VII,Negros Oriental,120375,Samac ES,MABINAY,2nd,456,10,Blue,SAMAC,NEGROS ORIENTAL,Mabinay I,School with no Annexes,10.0,0.0
3776,3777,Region VII,Negros Oriental,120366,Mabinay CES,MABINAY,2nd,1257,24,Gold,POBLACION,NEGROS ORIENTAL,Mabinay I,School with no Annexes,18.0,0.0
3777,3778,Region VII,Negros Oriental,120373,Pantao ES,MABINAY,2nd,483,22,Blue,PANTAO,NEGROS ORIENTAL,Mabinay II,School with no Annexes,17.0,2.0
3778,3779,Region VII,Negros Oriental,120345,Bato ES,MABINAY,2nd,278,4,Red,BATO,NEGROS ORIENTAL,Mabinay I,School with no Annexes,7.0,0.0
3779,3780,Region VII,Negros Oriental,120357,Danawan ES,MABINAY,2nd,167,4,Blue,ABIS,NEGROS ORIENTAL,Mabinay II,School with no Annexes,4.0,0.0
3780,3781,Region VII,Negros Oriental,120360,Himocdungon ES,MABINAY,2nd,314,5,Red,HIMOCDONGON,NEGROS ORIENTAL,Mabinay II,School with no Annexes,6.0,0.0
3781,3782,Region VII,Negros Oriental,120337,Abis ES,MABINAY,2nd,501,15,Blue,ABIS,NEGROS ORIENTAL,Mabinay I,School with no Annexes,13.0,0.0
3782,3783,Region VII,Negros Oriental,120372,Pandanon ES,MABINAY,2nd,453,8,Red,PANDANON,NEGROS ORIENTAL,Mabinay I,School with no Annexes,10.0,0.0
3783,3784,Region VII,Bais City,120084,Biso PS,BAIS CITY,2nd,111,2,Gold,Cambagahan,NEGROS ORIENTAL,Bais City South,School with no Annexes,3.0,0.0
3784,3785,Region VII,Negros Oriental,120194,Talaptapan ES,BINDOY (PAYABON),1st,226,6,Blue,NALUNDAN,NEGROS ORIENTAL,Bindoy,School with no Annexes,5.0,0.0
3785,3786,Region VII,Negros Oriental,120173,Cabcaban ES,BINDOY (PAYABON),1st,673,12,Red,ATOTES,NEGROS ORIENTAL,Bindoy,School with no Annexes,15.0,0.0
3786,3787,Region VII,Negros Oriental,120378,Tara ES,MABINAY,2nd,544,12,Blue,TARA,NEGROS ORIENTAL,Mabinay II,School with no Annexes,10.0,0.0
3787,3788,Region VII,Negros Oriental,120376,Tadlong ES,MABINAY,2nd,183,6,Blue,TADLONG,NEGROS ORIENTAL,Mabinay I,School with no Annexes,6.0,0.0
3788,3789,Region VII,Negros Oriental,120367,Mampalasan ES,MABINAY,2nd,145,5,Blue,BAGTIC,NEGROS ORIENTAL,Mabinay II,School with no Annexes,4.0,0.0
3789,3790,Region VII,Negros Oriental,120365,Luyang ES,MABINAY,2nd,249,4,Red,LUYANG,NEGROS ORIENTAL,Mabinay I,School with no Annexes,4.0,0.0
3790,3791,Region VII,Negros Oriental,120362,Lamdas ES,MABINAY,2nd,332,9,Blue,LAMDAS,NEGROS ORIENTAL,Mabinay II,School with no Annexes,9.0,0.0
3791,3792,Region VII,Negros Oriental,120340,Baliw ES,MABINAY,2nd,155,2,Red,BAGTIC,NEGROS ORIENTAL,Mabinay II,School with no Annexes,5.0,0.0
3792,3793,Region VII,Negros Oriental,120377,Tampa ES,MABINAY,2nd,89,4,Blue,INAPOY,NEGROS ORIENTAL,Mabinay I,School with no Annexes,4.0,0.0
3793,3794,Region VII,Negros Oriental,120338,Arebasore ES,MABINAY,2nd,306,5,Red,AREBASORE,NEGROS ORIENTAL,Mabinay II,School with no Annexes,6.0,0.0
3794,3795,Region VII,Negros Oriental,120627,Banban Primary School,VALLEHERMOSO,1st,66,2,Blue,GUBA,NEGROS ORIENTAL,Vallehermoso,School with no Annexes,2.0,0.0
3795,3796,Region VII,Negros Oriental,120356,Dahile ES,MABINAY,2nd,381,10,Blue,DAHILE,NEGROS ORIENTAL,Mabinay I,School with no Annexes,10.0,0.0
3796,3797,Region VII,Negros Oriental,120358,Don C. Tirambulo MES,MABINAY,2nd,830,10,Red,PANIABONAN,NEGROS ORIENTAL,Mabinay II,School with no Annexes,17.0,0.0
3797,3798,Region VII,Negros Oriental,120362,Lamdas ES,MABINAY,2nd,332,9,Blue,LAMDAS,NEGROS ORIENTAL,Mabinay II,School with no Annexes,9.0,0.0
3798,3799,Region VII,Negros Oriental,120364,Lumbangan ES,MABINAY,2nd,695,20,Blue,LUMBANGAN,NEGROS ORIENTAL,Mabinay I,School with no Annexes,20.0,0.0
3799,3800,Region VII,Negros Oriental,120368,Manlingay ES,MABINAY,2nd,284,6,Yellow,MANLINGAY,NEGROS ORIENTAL,Mabinay I,School with no Annexes,6.0,1.0
3800,3801,Region VII,Negros Oriental,120369,Nabaliwan ES,MABINAY,2nd,87,2,Blue,SAMAC,NEGROS ORIENTAL,Mabinay I,School with no Annexes,2.0,0.0
3801,3802,Region VII,Negros Oriental,120370,Namangka ES,MABINAY,2nd,211,7,Blue,OLD NAMANGKA,NEGROS ORIENTAL,Mabinay I,School with no Annexes,7.0,0.0
3802,3803,Region VII,Negros Oriental,120396,Matambok ES,MANJUYOD,1st,294,7,Blue,MANDALUPANG,NEGROS ORIENTAL,Manjuyod,School with no Annexes,7.0,0.0
3803,3804,Region VII,Negros Oriental,120393,Managba ES,MANJUYOD,1st,176,6,Blue,PANCIAO,NEGROS ORIENTAL,Manjuyod,School with no Annexes,5.0,0.0
3804,3805,Region VII,Negros Oriental,120394,Mandalupang ES,MANJUYOD,1st,91,2,Blue,MANDALUPANG,NEGROS ORIENTAL,Manjuyod,School with no Annexes,2.0,0.0
3805,3806,Region VII,Negros Oriental,120385,Candabong ES,MANJUYOD,1st,242,8,Blue,CANDABONG,NEGROS ORIENTAL,Manjuyod,School with no Annexes,7.0,0.0
3806,3807,Region VII,Negros Oriental,120388,Kayotesan ES,MANJUYOD,1st,273,6,Blue,KAUSWAGAN,NEGROS ORIENTAL,Manjuyod,School with no Annexes,6.0,0.0
3807,3808,Region VII,Negros Oriental,120391,LOCAY E/S,MANJUYOD,1st,249,9,Blue,BAGTIC,NEGROS ORIENTAL,Manjuyod,School with no Annexes,5.0,0.0
3808,3809,Region VII,Negros Oriental,120384,Campuyo ES,MANJUYOD,1st,469,14,Blue,CAMPUYO,NEGROS ORIENTAL,Manjuyod,School with no Annexes,12.0,0.0
3809,3810,Region VII,Negros Oriental,120187,Nagcasunog ES,BINDOY (PAYABON),1st,104,3,Blue,NAGCASUNOG,NEGROS ORIENTAL,Bindoy,School with no Annexes,3.0,0.0
3810,3811,Region VII,Negros Oriental,120191,PeÃ±ahan ES,BINDOY (PAYABON),1st,121,3,Blue,PEÃAHAN,NEGROS ORIENTAL,Bindoy,School with no Annexes,3.0,0.0
3811,3812,Region VII,Negros Oriental,120192,Salong ES,BINDOY (PAYABON),1st,149,5,Blue,SALONG,NEGROS ORIENTAL,Bindoy,School with no Annexes,3.0,0.0
3812,3813,Region VII,Negros Oriental,120193,Tagaytay ES,BINDOY (PAYABON),1st,283,6,Yellow,TAGAYTAY,NEGROS ORIENTAL,Bindoy,School with no Annexes,6.0,0.0
3813,3814,Region VII,Negros Oriental,120183,Malaga ES,BINDOY (PAYABON),1st,267,9,Blue,MALAGA,NEGROS ORIENTAL,Bindoy,School with no Annexes,7.0,0.0
3814,3815,Region VII,Negros Oriental,120379,Tingtingon ES,MABINAY,2nd,91,2,Blue,CANSAL-ING,NEGROS ORIENTAL,Mabinay II,School with no Annexes,2.0,0.0
3815,3816,Region VII,Negros Oriental,120395,Manjuyod CES,MANJUYOD,1st,647,37,Blue,POBLACION,NEGROS ORIENTAL,Manjuyod,School with no Annexes,23.0,2.0
3816,3817,Region VII,Negros Oriental,120401,Sampiniton ES,MANJUYOD,1st,267,10,Blue,BANTOLINAO,NEGROS ORIENTAL,Manjuyod,School with no Annexes,7.0,0.0
3817,3818,Region VII,Negros Oriental,120398,Sacsac ES,MANJUYOD,1st,121,6,Blue,SAC-SAC,NEGROS ORIENTAL,Manjuyod,School with no Annexes,3.0,0.0
3818,3819,Region VII,Negros Oriental,120404,Tanglad ES,MANJUYOD,1st,191,6,Blue,TANGLAD,NEGROS ORIENTAL,Manjuyod,School with no Annexes,6.0,0.0
3819,3820,Region VII,Negros Oriental,120390,Libjo ES,MANJUYOD,1st,121,3,Blue,LIBJO,NEGROS ORIENTAL,Manjuyod,School with no Annexes,3.0,0.0
3820,3821,Region VII,Negros Oriental,120381,Balaas ES,MANJUYOD,1st,115,4,Blue,BALAAS,NEGROS ORIENTAL,Manjuyod,School with no Annexes,3.0,0.0
3821,3822,Region VII,Negros Oriental,120386,Concepcion ES,MANJUYOD,1st,121,4,Blue,CONCEPCION,NEGROS ORIENTAL,Manjuyod,School with no Annexes,2.0,0.0
3822,3823,Region VII,Negros Oriental,120400,Salvacion ES,MANJUYOD,1st,156,2,Red,SALVACION,NEGROS ORIENTAL,Manjuyod,School with no Annexes,4.0,0.0
3823,3824,Region VII,Negros Oriental,120406,Tupas ES,MANJUYOD,1st,199,6,Blue,TUPAS,NEGROS ORIENTAL,Manjuyod,School with no Annexes,3.0,0.0
3824,3825,Region VII,Negros Oriental,120403,San Jose ES,MANJUYOD,1st,76,6,Blue,SAN JOSE,NEGROS ORIENTAL,Manjuyod,School with no Annexes,5.0,0.0
3825,3826,Region VII,Negros Oriental,120382,Bolisong ES,MANJUYOD,1st,424,13,Blue,BOLISONG,NEGROS ORIENTAL,Manjuyod,School with no Annexes,12.0,1.0
3826,3827,Region VII,Negros Oriental,120383,Butong ES,MANJUYOD,1st,376,11,Blue,BUTONG,NEGROS ORIENTAL,Manjuyod,School with no Annexes,10.0,0.0
3827,3828,Region VII,Negros Oriental,120389,Lamogong ES,MANJUYOD,1st,327,8,Blue,LAMOGONG,NEGROS ORIENTAL,Manjuyod,School with no Annexes,8.0,0.0
3828,3829,Region VII,Negros Oriental,120408,Balayong ES,PAMPLONA,2nd,381,15,Blue,BALAYONG,NEGROS ORIENTAL,Pamplona,School with no Annexes,14.0,0.0
3829,3830,Region VII,Negros Oriental,120418,Magsusunog ES,PAMPLONA,2nd,213,8,Blue,MAGSUSUNOG,NEGROS ORIENTAL,Pamplona,School with no Annexes,6.0,1.0
3830,3831,Region VII,Negros Oriental,120420,Mamburao ES,PAMPLONA,2nd,262,7,Blue,MAMBURAO,NEGROS ORIENTAL,Pamplona,School with no Annexes,7.0,0.0
3831,3832,Region VII,Negros Oriental,120417,Inawasan ES,PAMPLONA,2nd,281,7,Blue,INAWASAN,NEGROS ORIENTAL,Pamplona,School with no Annexes,7.0,0.0
3832,3833,Region VII,Negros Oriental,120425,San Isidro ES,PAMPLONA,2nd,189,6,Blue,SAN ISIDRO,NEGROS ORIENTAL,Pamplona,School with no Annexes,6.0,0.0
3833,3834,Region VII,Negros Oriental,120410,Calicanan ES,PAMPLONA,2nd,588,11,Gold,CALICANAN,NEGROS ORIENTAL,Pamplona,School with no Annexes,7.0,0.0
3834,3835,Region VII,Negros Oriental,120429,Yupisan ES,PAMPLONA,2nd,102,4,Blue,YUPISAN,NEGROS ORIENTAL,Pamplona,School with no Annexes,4.0,0.0
3835,3836,Region VII,Negros Oriental,120415,Hunop ES,PAMPLONA,2nd,244,7,Blue,SAN ISIDRO,NEGROS ORIENTAL,Pamplona,School with no Annexes,7.0,0.0
3836,3837,Region VII,Negros Oriental,120414,Fatima ES,PAMPLONA,2nd,269,7,Blue,FATIMA,NEGROS ORIENTAL,Pamplona,School with no Annexes,6.0,0.0
3837,3838,Region VII,Negros Oriental,120421,Nabalabag ES,PAMPLONA,2nd,95,2,Yellow,SAN ISIDRO,NEGROS ORIENTAL,Pamplona,School with no Annexes,2.0,0.0
3838,3839,Region VII,Negros Oriental,120424,Samoyao Elem. School,PAMPLONA,2nd,206,4,Gold,YUPISAN,NEGROS ORIENTAL,Pamplona,School with no Annexes,4.0,0.0
3839,3840,Region VII,Negros Oriental,120428,Tigbao ES,PAMPLONA,2nd,124,5,Blue,BANAWE,NEGROS ORIENTAL,Pamplona,School with no Annexes,5.0,0.0
3840,3841,Region VII,Negros Oriental,120413,Datagon ES,PAMPLONA,2nd,374,12,Blue,DATAGON,NEGROS ORIENTAL,Pamplona,School with no Annexes,10.0,0.0
3841,3842,Region VII,Negros Oriental,120416,Ilalan ES,PAMPLONA,2nd,167,9,Blue,YUPISAN,NEGROS ORIENTAL,Pamplona,School with no Annexes,6.0,2.0
3842,3843,Region VII,Guihulngan City,120265,Buenavista ES,CITY OF GUIHULNGAN,1st,633,12,Gold,,NEGROS ORIENTAL,Guihulngan South,School with no Annexes,15.0,0.0
3843,3844,Region VII,Negros Oriental,120508,Danao ES,SANTA CATALINA,3rd,263,5,Gold,NAGBINLOD,NEGROS ORIENTAL,Sta. Catalina North,Annex or Extension school(s),5.0,0.0
3844,3845,Region VII,Negros Oriental,120514,Nagbinlod ES,SANTA CATALINA,3rd,315,9,Blue,NAGBINLOD,NEGROS ORIENTAL,Sta. Catalina North,School with no Annexes,7.0,2.0
3845,3846,Region VII,Negros Oriental,120517,Omoso ES,SANTA CATALINA,3rd,101,2,Yellow,MANSAGOMAYON,NEGROS ORIENTAL,Sta. Catalina North,School with no Annexes,2.0,0.0
3846,3847,Region VII,Negros Oriental,120513,Mansagomayon ES,SANTA CATALINA,3rd,171,7,Blue,MANSAGOMAYON,NEGROS ORIENTAL,Sta. Catalina North,School with no Annexes,6.0,1.0
3847,3848,Region VII,Negros Oriental,120535,Malatubahan ES,SANTA CATALINA,3rd,335,11,Blue,MILAGROSA,NEGROS ORIENTAL,Sta. Catalina South,School with no Annexes,9.0,1.0
3848,3849,Region VII,Tanjay City,120547,Cangkue ES,CITY OF TANJAY,2nd,157,5,Blue,Barangay Sto. Niño,NEGROS ORIENTAL,Tanjay City West,School with no Annexes,6.0,0.0
3849,3850,Region VII,Tanjay City,120543,Ballacag ES,CITY OF TANJAY,2nd,89,4,Blue,Barangay Sto. Niño,NEGROS ORIENTAL,Tanjay City West,School with no Annexes,4.0,0.0
3850,3851,Region VII,Tanjay City,120558,Mato-Bato Elementary School,CITY OF TANJAY,2nd,137,3,Blue,Barangay Bahi-an,NEGROS ORIENTAL,Tanjay City West,School with no Annexes,6.0,0.0
3851,3852,Region VII,Tanjay City,120554,Hinagba-an Elementary School,CITY OF TANJAY,2nd,100,1,Red,Barangay Pal-ew,NEGROS ORIENTAL,Tanjay City North,School with no Annexes,3.0,0.0
3852,3853,Region VII,Negros Oriental,120021,Bio-os ES,AMLAN (AYUQUITAN),2nd,489,19,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,16.0,0.0
3853,3854,Region VII,Negros Oriental,120025,Aurelio Ibero Mem. ES (Jugno ES),AMLAN (AYUQUITAN),2nd,206,10,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,8.0,0.0
3854,3855,Region VII,Negros Oriental,120024,Jantianon ES,AMLAN (AYUQUITAN),2nd,406,15,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,12.0,0.0
3855,3856,Region VII,Negros Oriental,120024,Jantianon ES,AMLAN (AYUQUITAN),2nd,406,15,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,12.0,0.0
3856,3857,Region VII,Negros Oriental,120025,Aurelio Ibero Mem. ES (Jugno ES),AMLAN (AYUQUITAN),2nd,206,10,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,8.0,0.0
3857,3858,Region VII,Negros Oriental,120027,Panusuan ES,AMLAN (AYUQUITAN),2nd,69,3,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,3.0,0.0
3858,3859,Region VII,Negros Oriental,120028,Silab ES,AMLAN (AYUQUITAN),2nd,342,13,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,11.0,0.0
3859,3860,Region VII,Negros Oriental,120026,Martin Benjamin MES (Tambojangin ES),AMLAN (AYUQUITAN),2nd,197,7,Blue,,NEGROS ORIENTAL,Amlan,School with no Annexes,7.0,0.0
3860,3861,Region VII,Negros Oriental,120423,Pamplona CES,PAMPLONA,2nd,1001,30,Blue,POBLACION,NEGROS ORIENTAL,Pamplona,School with no Annexes,28.0,0.0
3861,3862,Region VII,Negros Oriental,120409,Banawe ES,PAMPLONA,2nd,169,8,Blue,BANAWE,NEGROS ORIENTAL,Pamplona,School with no Annexes,6.0,2.0
3862,3863,Region VII,Negros Oriental,120412,Cantilo ES,PAMPLONA,2nd,167,11,Blue,MANGOTO,NEGROS ORIENTAL,Pamplona,School with no Annexes,8.0,3.0
3863,3864,Region VII,Negros Oriental,120407,Abante ES,PAMPLONA,2nd,156,5,Blue,ABANTE,NEGROS ORIENTAL,Pamplona,School with no Annexes,4.0,0.0
3864,3865,Region VII,Negros Oriental,120426,Simborio ES,PAMPLONA,2nd,132,8,Blue,SIMBORIO,NEGROS ORIENTAL,Pamplona,School with no Annexes,6.0,0.0
